VISA;TITRE;REALISATEUR;PRODUCTEURS;DEVIS;GENRE;EOF;RANG;ASR;PAYANTE;CLAIR;NATIONALITE;Date;DECOMPOSITION;AIDES
147638;Cachalots, à la rencontre des géants;VINCENT Guillaume;CINÉ FILMS EUROPE;786 856,00;Docu;OUI;2;;;;France/Luxembourg;2018;France-65 / Luxembourg-35;Sofica,Crédit D'impot
146225;Cold war;PAWLIKOWSKI Pawel;MK PRODUCTIONS;5 090 065,00;Fiction;NON;3;;;Arte;Pologne/Grande Bretagne/France;2018;Pologne-50 / Grande Bretagne-25 / France-25;
146696;Editeur;OTCHAKOVSKI-LAURENS Paul;LES FILMS DU RAT;27 980,00;Fiction;OUI;2;;;;France;2018;France-100;
138938;Fahim;MARTIN LAVAL Pierre-François;WAITING FOR CINÉMA ET ALICÉLÉO;9 052 245,00;Fiction;OUI;3;;C+ Ciné+;F3;France;2018;France-100;Sofica,Crédit D'impot,Aide Régionale
148461;Kat people;GASTINE Marco;LES FILMS DU TAMBOUR DE SOIE;220 652,00;Docu;NON;3;;;;Grèce/France;2018;Grèce-67 / France-33;
146726;Maya;HANSEN-LOVE Mia;LFP - LES FILMS PELLÉAS;5 124 756,00;Fiction;OUI;3;;C+ Ciné+;Arte;France/Allemagne;2018;France-86 / Allemagne-14;Sofica,Crédit D'impot
148483;Monsieur;GERA Rohena;CINÉ SUD PROMOTION;781 467,00;Fiction;NON;2;;;;Inde/France;2018;Inde-69 / France-31;
145360;Neuilly sa mère, sa mère;BENSALAH Djamel / JULIEN-LAFERRIERE Gabriel;MIROIR MAGIQUE ! ET VITO FILMS;7 274 235,00;Fiction;OUI;3 / 3;;C+ Ciné+;F2 M6;France;2018;France-100;Crédit D'impot
149494;Positive school;AYOUCH Nabil;LES FILMS DU NOUVEAU MONDE;1 202 014,00;Fiction;NON;3;;C+ Ciné+;;France/Maroc;2018;France-52 / Maroc-48;
144399;Territoires;OELHOFFEN David;ONE WORLD FILMS;4 188 650,00;Fiction;OUI;3;;OCS;;France;2018;France-100;Sofica,Crédit D'impot
146240;A 2 heures de Paris;VERRIER Virginie;VIGO FILMS;410 029,00;Fiction;OUI;1;;;;France;2017;France-100;Crédit D'impot
147101;Amanda;HERS Mikhaël;NORD-OUEST FILMS;3 504 629,00;Fiction;OUI;3;avant;C+ Ciné+;Arte;France;2017;France-100;Sofica,Crédit D'impot,Aide Régionale
141913;Belle et la belle (La);FILLIERES Sophie;CHRISTMAS IN JULY;3 996 660,00;Fiction;OUI;3;avant;C+ Ciné+;F3;France;2017;France-100;Sofica,Crédit D'impot
145657;Capital au Xxe siècle (Le);PEMBERTON Justin / PIKETTY Thomas;UPSIDE;2 518 855,00;Docu;OUI;3 / 1;;C+;F3;France/Nouvelle-zélande;2017;France-51 / Nouvelle-zélande-49;
143032;C'est ça l'amour;BURGER Claire;DHARAMSALA;2 955 606,00;Fiction;OUI;2;avant;C+ Ciné+;Arte;France;2017;France-100;Crédit D'impot,Aide Régionale
143544;Collier rouge (Le);BECKER Jean;ICE 3 ET KJB PRODUCTION;6 859 546,00;Fiction;OUI;3;;C+ Ciné+;F3;France;2017;France-100;Sofica,Crédit D'impot,Aide Régionale
144347;Fils de Garches;GENDARME Remi;THE KINGDOM ET WAG PROD;607 250,00;Docu;OUI;1;avant;;;France;2017;France-100;Aide Régionale
147586;Jewell stone;DUMAS Sandrine;PIO & CO;1 374 233,00;Fiction;OUI;2;;;;France;2017;France-100;Crédit D'impot
128538;Monnaie de leur pièce (La);LE NY Anne;MOVE MOVIE;4 810 864,00;Fiction;OUI;3;;C+ Ciné+;F2 C8;France;2017;France-100;Sofica,Crédit D'impot
146490;Mort de Staline (La);IANNUCCI Armando;MITICO ET GAUMONT;11 097 498,00;Fiction;NON;2;;C+ Ciné+;F3;Grande Bretagne/France/Belgique;2017;Grande Bretagne-66 / France-22 / Belgique-11;
139959;Mrs Mills;MARCEAU Sophie;LES FIMS DU CAP;6 399 772,00;Fiction;OUI;3;;OCS;;France;2017;France-100;Sofica,Crédit D'impot
146034;Nous, Tikopia;FAJAL Corto;LES FILMS DE L'HEURE BLEUE;318 000,00;Docu;OUI;2;;;;France/Suède;2017;France-70 / Suède-30;Aide Régionale
125248;Pachamama;ANTIN Juan;FOLIVARI ET O2B;6 755 384,00;Anim;OUI;2;;C+ OCS;;France/Luxembourg/Canada;2017;France-69 / Luxembourg-21 / Canada-10;Crédit D'impot,Aide Régionale
146542;Retour du héros (Le);TIRARD Laurent;JD PROD ET LES FILMS SUR MESURE;9 702 525,00;Fiction;OUI;3;;C+ Ciné+;F3;France;2017;France-100;Sofica,Crédit D'impot
144513;The captain;SCWENTKE Robert;ALFAMA FILMS PRODUCTION;4 816 481,00;Fiction;NON;3;;C+ Ciné+;;Allemagne/France/Pologne;2017;Allemagne-68 / France-20 / Pologne-12;Sofica
146341;Un beau soleil intérieur (ex Des lunettes noires);DENIS Claire;CURIOSA FILMS;2 978 282,00;Fiction;OUI;3;avant;OCS;;France;2017;France-100;Sofica,Crédit D'impot
143162;Amant d'un jour (L');GARREL Philippe;SBS FILMS;2 410 929,00;Fiction;OUI;3;avant;;Arte;France;2016;France-100;Sofica,Crédit D'impot
134025;Bienvenue à Marly-Gomont;RAMBALDI Julien;E.D.I. FILMS;6 504 389,00;Fiction;OUI;2;;C+;TF1 NT1;France;2016;France-100;
143846;Georges et mavie;GIRARD Elise;KINOELEKTRON;511 864,00;Fiction;OUI;2;;;;France;2016;France-100;Crédit D'impot
128345;Insight;MENNEGUN Cyril;UNITE DE PRODUCTION;880 053,00;Fiction;OUI;2;;Ciné+;;France;2016;France-100;Sofica,Crédit D'impot,Aide Régionale
144044;Que le diable nous emporte;BRISSEAU Jean-Claude;LA SORCIERE ROUGE;593 241,00;Fiction;OUI;3;avant;;;France;2016;France-100;Sofica
144019;Hiver (L');TORRES Emiliano;CITE FILMS;995 000,00;Fiction;NON;1;;;;Arg/Chili/France;2016;Arg-60 / Chili-20 / France-20;
144907;La Vita possibile;DE MATTEO Ivano;BARBARY FILMS;2 329 487,00;Fiction;NON;3;;;;Italie/France;2016;Italie-95 / France-5;
144265;Return to Montauk;SCHLONDORFF Volker;ORSANS PRODUCTIONS;4 947 120,00;Fiction;NON;3;;;Arte;Allemagne/France/Irlande;2016;Allemagne-68 / France-22 / Irlande-10;
119555;ARBRE ET LA FORÊT (L');DUCASTEL Olivier / MARTINEAU Jacques;LES FILMS DU LENDEMAIN / MAIA CINEMA;3 488 800,00;Fiction;;3;avant;;;France;2008;France-100;Sofica,Crédit D'impot,Aide Régionale
120211;ARTHUR ET LA VENGEANCE DE MALTAZARD;BESSON Luc;AVALANCHE PRODUCTIONS / EUROPACORP / TF1 FILMS PRODUCTION;63 237 392,00;Animation;;3;;;;France;2008;France-100;Sofica,Crédit D'impot
120115;CHANTEUSE DE TANGO (LA);MARTINEZ VIGNATTI Diego;MOBILIS PRODUCTIONS;2 640 933,00;Fiction;;3;;;;Belgique/Argentine/Pays Bas/France;2008;Belgique-66 / Argentine-13 / Pays Bas-10 / France-10;
106079;CONCERT (LE);MIHAILEANU Radu;EUROPACORP / FRANCE 3 CINEMA / LES PRODUCTIONS DU TRESOR / OÏ OÏ OÏ PRODUCTIONS;13 189 567,00;Fiction;;3;;;;France/Belgique/Roumanie/Italie;2008;France-70 / Belgique-10 / Roumanie-10 / Italie-10;Crédit D'impot,Aide Régionale
120087;DOMINATION MASCULINE (LA);JEAN Patrick;ELZEVIR FILMS / UGC IMAGES;901 119,00;Documentaire;;2;avant;;;Belgique/France;2008;Belgique-50 / France-50;Sofica
119932;ENTER THE VOID (SOUDAIN LE VIDE);NOE Gaspard;BUF COMPAGNIE / FIDELITE FILMS / LES CINEMAS DE LA ZONE / WILD BUNCH;12 384 847,00;Fiction;;3;;;;France/Allemagne/Italie;2008;France-70 / Allemagne-20 / Italie-10;
118873;HOMMES (LES);MICHEL Ariane;LOVE STREAMS AGNES B. PRODUCTIONS;92 174,00;Documentaire;;1;après;;;France;2008;France-100;
117705;HUMAINS;THEVENIN Pierre-Olivier / MOLON Jacques-Olivier;LA FABRIQUE 2 / LA FABRIQUE DE FILMS;4 500 745,00;Fiction;;1;;;;France/Luxembourg/Suisse;2008;France-60 / Luxembourg-30 / Suisse-10;Sofica
119496;MARIAGE CHEZ LES BODIN'S;LE ROCH Eric;AGENCE BJP;94 493,00;Fiction;;3;;;;France;2008;France-100;
107407;OCÉANS;PERRIN Jacques / CLUZAUD Jacques;FRANCE 2 CINEMA / FRANCE 3 CINEMA / GALATEE FILMS / PATHE PRODUCTION;49 619 972,00;Documentaire;;2;avant;;;France;2008;France-100;Crédit D'impot
110809;UN PROPHÈTE;AUDIARD Jacques;CHIC FILMS SAS / FRANCE 2 CINEMA / PAGE 114 / UGC IMAGES / WHY NOT PRODUCTIONS;12 487 177,00;Fiction;;3;;;;France/Italie;2008;France-94 / Italie-6;Sofica,Crédit D'impot,Aide Régionale
113178;DELWENDE LEVE-TOI ET MARCHE;YAMEOGO S. Pierre;DUNIA PRODUCTIONS;667 816,00;Fiction;;3;;;;France/Burkina Faso;2005;France-76 / Burkina Faso-23;
113634;GRAND MEAULNES (LE);VERHAEGHE Jean-Daniel;FRANCE 3 CINEMA / MOSCA FILMS / RHAMSA PRODUCTIONS / TF1 DROITS AUDIOVISUELS;6 674 705,00;Fiction;;2;;;;France;2005;France-100;Sofica,Crédit D'impot,Aide Régionale
111353;IVRESSE DU POUVOIR;CHABROL Claude;AJOZ FILMS / ALICELEO - AUTEURS LIVRES SCENARIO POUR L'ECRITURE AUDIOVISUELLE / FRANCE 2 CINEMA;6 997 285,00;Fiction;;3;;;;France/Allemagne;2005;France-80 / Allemagne-20;Crédit D'impot
113500;LIP L'IMAGINATION AU POUVOIR (LES);ROUAUD Christian;LES FILMS D'ICI;502 565,00;Documentaire;;1;avant;;;France;2005;France-100;Crédit D'impot,Aide Régionale
114145;MOI VAN GOGH;BERTRAND Francois / KNAPP Peter;CAMERA LUCIDA PRODUCTIONS / OUILLE PRODUCTIONS / SOCIETE D'ECONOMIE MIXTE LES PRODUCTIONS LA GEODE;1 000 380,00;Documentaire;;1;;;;France;2005;France-100;
109310;MON FILS A MOI;FOUGERON Martial;FRANCE 2 CINEMA / MOBY DICK FILMS / WHY NOT PRODUCTIONS;3 223 416,00;Fiction;;1;avant;;;France;2005;France-100;Crédit D'impot
